y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	F_statistic	p-value	coefficient	covariants	memo	FDR
lymph_nodes_examined_he_count	Q	HPV45	1	0.0801501251044101	595	22723.8651884376	0.00209864492865366	0.96347628635171	0.284403669724782	Disease	NA	0.981211215143725
lymph_nodes_examined_he_count	Q	Other.HPV	1	3.37956019683043	595	22720.5657783659	0.0885030036984724	0.766192810679701	-1.06865233070656	Disease	NA	0.969455055453171
lymph_nodes_examined_he_count	Q	Any.HPV	1	44.5667657540434	595	22679.3785728087	1.16922187874444	0.279999238743459	-1.4195739205033	Disease	NA	0.642961214892387
lymph_nodes_examined_he_count	Q	Any.HHV	1	29.3655768385106	595	22694.5797617242	0.76989829300044	0.380602663124493	0.975612678138733	Disease	NA	0.781917787215503
lymph_nodes_examined_he_count	Q	AnyVirus	1	1.31067516098483	595	22722.6346634017	0.0343204796599596	0.853089910049432	-0.154831046670278	Disease	NA	0.980093968538557
lymph_nodes_examined_he_count	Q	BK.low	1	9.94257025522529	595	22714.0027683075	0.260448559516481	0.610001424753257	-2.23716673298846	Disease	NA	0.916668062132453
lymph_nodes_examined_he_count	Q	EBV.low	1	4.37840727451839	595	22719.5669312882	0.114665580387924	0.735013165134774	-0.182857884944487	Disease	NA	0.953409998621747
lymph_nodes_examined_he_count	Q	HAC.low	1	10.601137055186	595	22713.3442015075	0.277707962855465	0.598403861916313	0.629952948835556	Disease	NA	0.916668062132453
lymph_nodes_examined_he_count	Q	HBV.low	1	194.816001715997	595	22529.1293368467	5.14513984486017	0.0236690509494085	4.73555555555558	Disease	NA	0.209640165551904
lymph_nodes_examined_he_count	Q	HHV5.low	1	196.177954235693	595	22527.767384327	5.18142258746179	0.023184050731743	2.71184687094912	Disease	NA	0.209640165551904
lymph_nodes_examined_he_count	Q	HPV16.low	1	15.5539888860585	595	22708.3913496767	0.40754200703594	0.523465360949553	0.645837824812733	Disease	NA	0.914221193771051
lymph_nodes_examined_he_count	Q	HPV18.low	1	1.79295764558992	595	22722.1523809171	0.0469502088200917	0.828532030653043	-0.336038435687434	Disease	NA	0.978456874295022
lymph_nodes_examined_he_count	Q	HPV33.low	1	0.0822870329284342	595	22723.8630515298	0.00215459776717508	0.962992947760579	-0.0846999214074672	Disease	NA	0.981211215143725
lymph_nodes_examined_he_count	Q	HPV45.low	0	0	596	22723.9453385627	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined_he_count	Q	Other.HPV.low	1	9.52541635704256	595	22714.4199222057	0.249516507656867	0.617600379671691	-0.730571345601507	Disease	NA	0.916668062132453
lymph_nodes_examined_he_count	Q	Any.HPV.low	1	0.0389992941745732	595	22723.9063392686	0.00102115277573433	0.974518269784809	0.0271199136329252	Disease	NA	0.981211215143725
lymph_nodes_examined_he_count	Q	Any.HHV.low	1	0.758372213324037	595	22723.1869663494	0.0198577544424568	0.887982775600968	0.0751648476983545	Disease	NA	0.980093968538557
lymph_nodes_examined_he_count	Q	AnyVirus.low	1	51.8410915739805	595	22672.1042469887	1.36050227850444	0.24391774711986	0.592067596127767	Disease	NA	0.629051162926895
last_contact_days_to	Q	BK	1	42379.7398050725	583	220820300.049994	0.111889116629058	0.738123869900707	-206.756521739129	Disease	NA	0.953409998621747
last_contact_days_to	Q	EBV	1	54497.5775909424	583	220808182.212208	0.143889992740327	0.704582175423799	45.0366037004393	Disease	NA	0.950188535726491
last_contact_days_to	Q	HAC	0	0	584	220862679.789799	NA	NA	NA	Disease	NA	NA
last_contact_days_to	Q	HBV	0	0	584	220862679.789799	NA	NA	NA	Disease	NA	NA
last_contact_days_to	Q	HHV5	1	482313.591635138	583	220380366.198164	1.2759250235134	0.259122622028307	-313.654120022982	Disease	NA	0.629051162926895
last_contact_days_to	Q	HPV16	1	1632505.63494945	583	219230174.15485	4.34133115500457	0.0376328180421923	236.170863576846	Disease	NA	0.245603654591149
last_contact_days_to	Q	HPV18	0	0	584	220862679.789799	NA	NA	NA	Disease	NA	NA
last_contact_days_to	Q	HPV33	1	51385.9595004618	583	220811293.830299	0.135672473400717	0.712755339398173	-131.859296482414	Disease	NA	0.950188535726491
last_contact_days_to	Q	HPV45	0	0	584	220862679.789799	NA	NA	NA	Disease	NA	NA
last_contact_days_to	Q	Other.HPV	1	139440.736582786	583	220723239.053217	0.368307160480569	0.544164722413682	-187.988794669897	Disease	NA	0.916668062132453
last_contact_days_to	Q	Any.HPV	1	971695.879808962	583	219890983.90999	2.57627069493906	0.109018477736522	168.086168087457	Disease	NA	0.473233097476361
last_contact_days_to	Q	Any.HHV	1	3381.11778923869	583	220859298.67201	0.00892510156003665	0.924766083217832	-10.319253094232	Disease	NA	0.980093968538557
